# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  3 09:14:11 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,1,0,Radial Velocity,2007,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,12.200,,,0,4914.89849,39.09289,-39.72855,0,Msini,0.238000,0.007000,-0.007000,0,,,,,,,,,G8 III,4874.00,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,[Fe/H],2.45,0.08,-0.08,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,93.1846000,1.9238000,-1.9238000,4.7230700,0.0230000,-0.0230000,2.2820000,0.3460000,-0.3460000,4.4403800,0.0038479,-0.0038479
11 UMi b,11 UMi,1,1,0,Radial Velocity,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,4684.81420,794.57500,-794.57500,0,Msini,0.080000,0.030000,-0.030000,0,,,,,,,,,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,[Fe/H],1.93,0.07,-0.07,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
14 And b,14 And,1,1,0,Radial Velocity,2008,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,13.100,,,0,1131.15130,36.23244,-38.77507,0,Msini,0.000000,,,0,,,,,,,,,K0 III,4888.00,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,[Fe/H],2.55,0.06,-0.07,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,75.4392000,0.7140000,-0.7140000,5.2313300,0.0230000,-0.0230000,2.3310000,0.2400000,-0.2400000,4.9178100,0.0028262,-0.0028262
14 Her b,14 Her,1,2,0,Radial Velocity,2002,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,12.600,,,0,2559.47216,518.69596,-280.64248,0,Mass,0.373000,0.008000,-0.006000,0,,,,,144.652,6.279,-3.241,0,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,[Fe/H],4.45,0.02,-0.02,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.9323000,0.0073000,-0.0073000,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,1996,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,565.73740,25.42640,-25.42640,0,Msini,0.680000,0.020000,-0.020000,0,,,,,,,,,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,[Fe/H],4.36,0.01,-0.01,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,21.1397000,0.0110000,-0.0111000,6.2150000,0.0160000,-0.0160000,4.6510000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029
17 Sco b,17 Sco,1,1,0,Radial Velocity,2020,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1373.01872,47.67426,-38.13941,0,Msini,0.060000,0.030000,-0.020000,0,,,,,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,[Fe/H],1.70,0.04,-0.06,0,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,27.34301,1.30262,124.9530000,2.5900000,-2.5900000,5.2260600,0.0230000,-0.0230000,2.0940000,0.2440000,-0.2440000,4.7542900,0.0050550,-0.0050550
18 Del b,18 Del,2,1,0,Radial Velocity,2008,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,12.500,,,0,2926.24614,50.85255,-24.47279,0,Msini,0.024000,0.007000,-0.018000,0,,,,,,,,,G6 III,4980.00,,,0,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,[Fe/H],2.87,0.03,-0.05,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,76.2220000,0.6217000,-0.6217000,5.5104800,0.0230000,-0.0230000,3.3660000,0.2040000,-0.2040000,5.2747600,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,2008,,,,,330.000000,,,0,18.647,,,0,3000.00000,300.00000,-300.00000,0,Mass,,,,,1700,100,-100,0,,,,,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,,4.00,0.14,-0.10,0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,139.1350000,1.3320000,-1.3070000,12.6180000,0.0690000,-0.0690000,8.9160000,0.0210000,-0.0210000,12.0572000,0.0022750,-0.0022750
24 Boo b,24 Boo,1,1,0,Radial Velocity,2018,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,13.900,,,0,280.64248,11.44182,-13.66662,0,Msini,0.032000,0.039000,-0.023000,0,,,,,,,,,G3 IV,4816.00,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,[Fe/H],2.28,0.09,-0.07,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.64470,90.16373,95.9863000,0.6368500,-0.6368500,5.5900000,0.0010000,-0.0010000,3.1590000,0.2800000,-0.2800000,5.3339000,0.0019998,-0.0019998
24 Sex b,24 Sex,1,2,0,Radial Velocity,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,632.46000,82.63000,-120.77000,0,Msini,0.090000,0.140000,-0.060000,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,[Fe/H],3.50,0.10,-0.10,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
